Datetime,TEMP_MEAN_(C),WDIR_VECT_(DEG),WSPD_SCLR_(M/S),HUMIDITY_(%),Depth_per_day,gas_prod_vol_m3,SO2,TRS,NOx,NO,NO2,O3
2019-01-31,-8.36491935483871,311.69,3.0243279569892474,75.8771505376344,3192.018572982615,168187.64838709676,0.43803763440860216,0.1478494623655914,5.786626344086021,1.0444220430107527,4.743817204301076,27.6244623655914
2019-02-28,-19.748511904761905,318.24,1.693452380952381,69.31681547619048,6434.785033455801,168012.80357142858,0.5610863095238096,0.21205357142857142,7.262425595238095,1.240029761904762,6.024702380952381,29.353199404761906
2019-03-31,-3.0870967741935487,282.58,2.157930107526882,62.53077956989247,6996.721584116233,168502.29032258064,0.4099462365591398,0.17452956989247315,5.06888440860215,0.7817876344086021,4.28877688172043,34.2633064516129
2019-04-30,3.4206250000000002,291.81,3.285486111111111,57.08097222222222,7306.24118278727,160254.62333333335,0.29,0.14229166666666665,2.0561805555555557,0.33743055555555557,1.7181944444444446,34.92326388888889
2019-05-31,10.46518817204301,343.03,1.9631720430107527,57.11115591397849,6039.73602343567,147147.7258064516,0.2113575268817204,0.1608198924731183,3.302083333333333,0.6918682795698925,2.61377688172043,30.10638440860215
2019-06-30,13.280277777777776,281.91,2.7191666666666667,64.93513888888889,8795.753210281682,153508.84333333332,0.15590277777777778,0.2204861111111111,4.552361111111111,1.8650694444444444,2.6919444444444447,21.717222222222222
2019-07-31,14.9747311827957,278.05,2.0913306451612903,71.25819892473118,6844.2820890025005,153932.87741935483,0.1603494623655914,0.16256720430107527,2.2241935483870967,0.5703629032258064,1.6571908602150538,19.56606182795699
2019-08-31,12.345564516129032,283.54,1.8803763440860215,75.68682795698925,5270.620765673616,152676.0193548387,0.14811827956989249,0.2183467741935484,1.843010752688172,0.5888440860215054,1.2553091397849463,16.671975806451613
2019-09-30,9.443888888888889,280.96,2.475,74.87819444444445,7114.27380878752,155345.76333333334,0.17736111111111114,0.17993055555555557,2.1799305555555555,0.6390277777777779,1.5413194444444445,16.84347222222222
2019-10-31,2.4111559139784946,275.97,2.829233870967742,73.07567204301075,6011.87104682266,156091.85483870967,0.21559139784946238,0.2519489247311828,2.689986559139785,0.6495295698924731,2.0433467741935485,20.748924731182797
2019-11-30,-3.4099999999999997,290.15,3.1069444444444443,75.82541666666665,6543.468000258783,172851.62,0.27770833333333333,0.24131944444444445,3.393958333333333,0.5959027777777777,2.8011805555555553,24.860694444444444
2019-12-31,-6.572861150070127,277.32,2.954540673211781,73.49835203366058,8345.252302182806,177709.24838709677,0.3418390603085554,0.24921692379616642,4.113017180925666,0.6607877512856475,3.4504266012155216,25.31431451612903
2020-01-31,-15.35739247311828,298.47,2.0831989247311826,73.39838709677419,9391.030704322764,174891.34193548386,0.34563172043010754,0.27264784946236564,5.728091397849462,0.9681451612903226,4.761693548387097,25.668212365591398
2020-02-29,-6.375143678160919,278.54,3.8784482758620693,65.26494252873563,10292.261054183742,175847.60344827586,0.3647988505747127,0.5908045977011495,3.388074712643678,0.6355603448275862,2.7514367816091956,33.988649425287356
2020-03-31,-8.359543010752688,304.87,2.893010752688172,63.90510752688172,8142.380456934387,176485.1741935484,0.4060483870967742,0.7047043010752688,2.7204973118279567,0.6090725806451613,2.115725806451613,35.19865591397849
2020-04-30,1.7268055555555555,280.82,3.45125,52.369027777777774,6746.069131765346,173117.73,0.3549305555555556,0.6331249999999999,1.6190972222222222,0.38652777777777775,1.2326388888888888,37.732569444444444
2020-05-31,9.32002688172043,327.67,2.621505376344086,60.6116935483871,4769.40284090602,170393.70322580644,0.3315188172043011,0.39018817204301076,1.7081989247311828,0.34375,1.366263440860215,27.59106182795699
2020-06-30,13.471527777777776,273.38,2.881666666666667,64.3638888888889,3787.1869492771434,166613.37333333335,0.24888888888888888,0.27618055555555554,1.4589583333333336,0.29555555555555557,1.1652083333333332,22.796388888888888
2020-07-31,15.598655913978495,273.15,2.49247311827957,69.52271505376345,4852.856137568655,159834.88709677418,0.20860215053763442,0.4613575268817204,1.2853494623655914,0.3394489247311828,0.9487231182795699,17.12983870967742
2020-08-31,14.024596774193547,266.06,3.351344086021505,65.2290322580645,8648.97338216316,159832.28064516129,0.2327284946236559,0.432997311827957,1.790994623655914,0.49973118279569895,1.291733870967742,19.30497311827957
2020-09-30,10.626944444444444,278.84,2.6456944444444446,68.50305555555556,8389.441621047195,150014.03666666665,0.41555555555555557,0.5243055555555556,2.2911805555555556,0.5632638888888889,1.7315277777777778,18.63479166666667
2020-10-31,1.3689516129032258,289.5,2.8976478494623654,69.14932795698924,10133.660914751703,162759.67741935485,0.44435483870967746,0.5838709677419355,2.814583333333333,0.639247311827957,2.1753360215053763,22.28481182795699
2020-11-30,-5.279513888888888,288.73,2.897777777777778,74.53534722222223,11351.845449928065,172733.58333333334,0.4340277777777778,0.7366666666666667,3.952361111111111,0.7497222222222223,3.200625,24.605833333333333
2020-12-31,-5.45958391771856,285.34,3.036974053295933,70.57637914913511,9746.003086242048,177247.38387096775,0.5138119448340346,0.7483140486208509,3.5188785647498833,0.5666579008882656,2.953962131837307,27.022922510518935
2021-01-31,-6.82513440860215,275.43,3.2759408602150537,67.95255376344086,11415.328048066951,180356.1387096774,0.6939516129032258,0.6887768817204301,4.6402553763440855,0.843010752688172,3.798185483870968,27.117943548387096
2021-02-28,-16.206101190476193,294.79,2.8047619047619046,66.28363095238095,12570.047534949214,180879.25714285715,0.5819196428571428,0.8577380952380952,4.647395833333333,1.053422619047619,3.5898809523809523,29.085788690476193
