Datetime,TEMP_MEAN_(C),WDIR_VECT_(DEG),WSPD_SCLR_(M/S),HUMIDITY_(%),Depth_per_day,gas_prod_vol_m3,SO2,TRS,NOx,NO,NO2,O3
2019-01-01,2.8791666666666664,261.97,7.595833333333334,68.22083333333333,252.0,168187.64838709676,0.3333333333333333,0.18333333333333335,0.8208333333333333,0.26875,0.5437500000000001,37.12291666666667
2019-01-02,4.066666666666666,256.22,8.525,64.68333333333334,252.0,168187.64838709676,0.2833333333333333,0.10416666666666667,0.7395833333333334,0.22916666666666666,0.5104166666666666,37.2875
2019-01-03,-6.2625,290.07,2.0791666666666666,72.27916666666667,588.5024154589372,168187.64838709676,0.29791666666666666,0.11041666666666668,6.0562499999999995,0.6770833333333334,5.3625,28.483333333333334
2019-01-04,-7.9125000000000005,21.19,0.7791666666666667,88.52499999999999,807.0024154589372,168187.64838709676,0.6875,0.1729166666666667,6.258333333333333,0.3770833333333334,5.879166666666666,24.160416666666666
2019-01-05,-9.120833333333334,65.03,1.8708333333333333,88.825,807.0024154589372,168187.64838709676,1.0104166666666667,0.13958333333333334,5.3812500000000005,0.7374999999999999,4.652083333333334,26.127083333333335
2019-01-06,-14.6,330.08,2.8791666666666664,77.33333333333333,807.0024154589372,168187.64838709676,0.24166666666666667,0.3833333333333333,1.3875,0.3854166666666667,1.01875,30.454166666666666
2019-01-07,-21.9375,307.03,1.575,69.575,998.1763285024156,168187.64838709676,0.15416666666666667,0.19166666666666665,2.4833333333333334,0.4791666666666667,1.9645833333333333,32.1625
2019-01-08,-26.545833333333334,299.3,0.5666666666666667,71.47083333333333,998.1763285024156,168187.64838709676,0.13958333333333334,0.16874999999999998,21.008333333333333,5.34375,15.706249999999999,15.025
2019-01-09,-18.375,15.52,1.1125,78.1375,998.1763285024156,168187.64838709676,0.40208333333333335,0.13958333333333334,6.377083333333334,0.7479166666666667,5.639583333333333,26.108333333333334
2019-01-10,-16.491666666666667,88.21,1.4916666666666665,76.26666666666667,1623.7724823485694,168187.64838709676,1.2791666666666666,0.09583333333333334,14.00625,2.38125,11.622916666666667,15.689583333333333
2019-01-11,-7.6125,132.34,0.9249999999999999,82.3125,2626.057570067868,168187.64838709676,0.4354166666666666,0.20208333333333336,14.541666666666666,2.4791666666666665,12.047916666666666,13.106250000000001
2019-01-12,0.8250000000000001,322.02,0.85,83.04166666666667,2626.057570067868,168187.64838709676,0.21041666666666667,0.12708333333333335,10.485416666666667,1.9312500000000001,8.558333333333334,23.525000000000002
2019-01-13,-0.3666666666666667,308.6,0.8375,90.25,3415.442185452483,168187.64838709676,0.06666666666666667,0.05416666666666667,7.6875,1.4333333333333333,6.252083333333334,18.758333333333333
2019-01-14,0.4375,276.86,2.8708333333333336,76.92083333333333,3415.442185452483,168187.64838709676,0.22083333333333333,0.041666666666666664,4.410416666666666,0.5520833333333334,3.8645833333333335,29.12291666666667
2019-01-15,-9.495833333333334,74.01,1.7249999999999999,86.325,3717.58504259534,168187.64838709676,0.5895833333333333,0.13541666666666666,4.825,0.71875,4.1187499999999995,19.814583333333335
2019-01-16,-16.650000000000002,352.79,1.4083333333333332,83.83749999999999,3717.58504259534,168187.64838709676,0.08333333333333333,0.08125,4.6125,0.5541666666666667,4.070833333333334,22.2625
2019-01-17,-19.791666666666668,70.49,1.3125,79.58333333333333,3717.58504259534,168187.64838709676,0.53125,0.16041666666666668,3.7062500000000003,0.46249999999999997,3.2541666666666664,27.802083333333332
2019-01-18,-17.079166666666666,87.64,2.129166666666667,80.94166666666666,3717.58504259534,168187.64838709676,0.6625,0.05833333333333334,4.591666666666667,0.41875,4.197916666666667,30.618750000000002
2019-01-19,-15.795833333333334,73.6,1.2458333333333333,82.26666666666667,3717.58504259534,168187.64838709676,0.9750000000000001,0.28750000000000003,7.85625,1.1270833333333334,6.754166666666666,23.945833333333336
2019-01-20,-7.604166666666667,305.05,3.2916666666666665,76.95,3789.881338891637,168187.64838709676,0.7479166666666667,0.18333333333333335,5.645833333333333,0.56875,5.058333333333334,27.40416666666667
2019-01-21,-8.529166666666667,267.35,3.1958333333333333,70.78333333333333,3530.3680910283883,168187.64838709676,0.22916666666666666,0.18958333333333333,10.577083333333333,3.5041666666666664,7.066666666666666,23.579166666666666
2019-01-22,-5.3999999999999995,306.17,2.441666666666667,70.71249999999999,4248.906134568311,168187.64838709676,0.3229166666666667,0.1875,4.170833333333333,0.5187499999999999,3.652083333333333,31.604166666666668
2019-01-23,-15.670833333333334,304.88,1.1125,75.4375,4315.668760830938,168187.64838709676,0.27291666666666664,0.10833333333333334,7.733333333333333,1.7145833333333333,6.0125,25.724999999999998
2019-01-24,-0.19583333333333333,266.21,7.0375000000000005,64.42083333333333,4267.633970621148,168187.64838709676,0.26666666666666666,0.05416666666666667,1.5041666666666667,0.3166666666666667,1.1875,37.25833333333333
2019-01-25,2.5749999999999997,263.89,8.154166666666667,67.58749999999999,4810.229413970901,168187.64838709676,0.225,0.0625,1.16875,0.30833333333333335,0.8645833333333334,39.18541666666667
2019-01-26,5.495833333333334,255.92,8.966666666666667,67.1125,5218.838568900479,168187.64838709676,0.12916666666666668,0.12916666666666668,1.3708333333333333,0.29791666666666666,1.0687499999999999,34.34166666666667
2019-01-27,-1.5833333333333333,319.77,2.6333333333333333,72.18333333333334,5148.640635741239,168187.64838709676,0.19999999999999998,0.18333333333333335,2.8166666666666664,0.35000000000000003,2.4625,33.206250000000004
