Date,Depth_per_day
2019-01-01,252.0
2019-01-02,252.0
2019-01-03,588.5024154589372
2019-01-04,807.0024154589372
2019-01-05,807.0024154589372
2019-01-06,807.0024154589372
2019-01-07,998.1763285024155
2019-01-08,998.1763285024155
2019-01-09,998.1763285024155
2019-01-10,1623.7724823485694
2019-01-11,2626.0575700678673
2019-01-12,2626.0575700678673
2019-01-13,3415.442185452483
2019-01-14,3415.442185452483
2019-01-15,3717.58504259534
2019-01-16,3717.58504259534
2019-01-17,3717.58504259534
2019-01-18,3717.58504259534
2019-01-19,3717.58504259534
2019-01-20,3789.8813388916365
2019-01-21,3530.3680910283883
2019-01-22,4248.906134568311
2019-01-23,4315.668760830938
2019-01-24,4267.6339706211475
2019-01-25,4810.229413970901
2019-01-26,5218.838568900479
2019-01-27,5148.640635741239
2019-01-28,5964.7532731038755
2019-01-29,6430.786293529368
2019-01-30,6128.64343638651
2019-01-31,6295.489991179289
2019-02-01,6295.489991179289
2019-02-02,6295.489991179289
2019-02-03,6295.489991179289
2019-02-04,6295.489991179289
2019-02-05,5813.853627542926
2019-02-06,5813.853627542926
2019-02-07,5935.429385118683
2019-02-08,5578.679385118683
2019-02-09,5243.493049714957
2019-02-10,4522.631938603846
2019-02-11,5611.971785347141
2019-02-12,5295.686071061426
2019-02-13,5692.020581930991
2019-02-14,5692.020581930991
2019-02-15,5794.143786504196
2019-02-16,6259.397663088568
2019-02-17,6493.59123068833
2019-02-18,6923.454867051966
2019-02-19,6976.998722722319
2019-02-20,7197.147845529336
2019-02-21,7331.5907328108315
2019-02-22,7528.22176729359
2019-02-23,7484.399299351294
2019-02-24,7504.574809555375
2019-02-25,7579.762309555375
2019-02-26,7618.123929514862
2019-02-27,7638.331814819521
2019-02-28,7462.642159647107
2019-03-01,7107.034467339416
2019-03-02,7029.086303660989
2019-03-03,7415.766859216545
2019-03-04,7095.766859216545
2019-03-05,7198.943782293467
2019-03-06,6943.993782293467
2019-03-07,6583.1271156268
2019-03-08,6490.41600451569
2019-03-09,6490.41600451569
2019-03-10,6490.41600451569
2019-03-11,6490.41600451569
2019-03-12,5766.3317021901075
2019-03-13,6252.802565716678
2019-03-14,6252.802565716678
2019-03-15,6591.163288327401
2019-03-16,5478.9334755475875
2019-03-17,6098.977457029069
2019-03-18,6194.514042394923
2019-03-19,6003.916251254175
2019-03-20,7279.716251254175
2019-03-21,7279.716251254175
2019-03-22,6878.716251254175
2019-03-23,6593.01335270345
2019-03-24,6481.400500038873
2019-03-25,7256.754838882699
2019-03-26,7431.634022093136
2019-03-27,8565.050251070252
2019-03-28,8850.756133423194
2019-03-29,8974.950577867638
2019-03-30,9024.5667394838
2019-03-31,8307.269402391068
2019-04-01,8761.291141521502
2019-04-02,8245.735585965947
2019-04-03,8289.019989635672
2019-04-04,7829.740894334837
2019-04-05,8627.509928943216
2019-04-06,8189.635997319284
2019-04-07,8311.224980370132
2019-04-08,7935.517148191877
2019-04-09,8094.517148191877
2019-04-10,8513.586698658373
2019-04-11,7902.724629692857
2019-04-12,7991.424629692857
2019-04-13,7706.112129692857
2019-04-14,7592.040162037871
2019-04-15,6944.361338736988
2019-04-16,6976.192507568157
2019-04-17,6976.192507568157
2019-04-18,6976.192507568157
2019-04-19,6860.656793282443
2019-04-20,6476.571382654423
2019-04-21,6439.960397805939
2019-04-22,6358.6270644726055
2019-04-23,6068.416657232787
2019-04-24,6642.756657232787
2019-04-25,6360.6994808867485
2019-04-26,6360.6994808867485
2019-04-27,6595.8864938737615
2019-04-28,6450.338106776988
2019-04-29,6354.801521411134
2019-04-30,6354.801521411134
2019-05-01,6632.401521411134
2019-05-02,6564.990562507024
2019-05-03,6660.974108493202
2019-05-04,6499.73383389366
2019-05-05,5939.204667226993
2019-05-06,5805.723185745512
2019-05-07,5687.820746721121
2019-05-08,5244.120746721122
2019-05-09,5735.954080054455
2019-05-10,7690.287413387788
2019-05-11,7223.805931906307
2019-05-12,7184.844393444768
2019-05-13,7096.386060111435
2019-05-14,6614.3901417440875
2019-05-15,6614.3901417440875
2019-05-16,6200.506808410754
2019-05-17,5713.688058410754
2019-05-18,5713.688058410754
2019-05-19,5679.601851514202
2019-05-20,5679.601851514202
2019-05-21,5407.184237877839
2019-05-22,5358.373631817232
2019-05-23,5757.623631817233
2019-05-24,5757.623631817233
2019-05-25,5757.623631817233
2019-05-26,5565.665756359357
2019-05-27,5511.499089692691
2019-05-28,5511.499089692691
2019-05-29,5441.595243538844
2019-05-30,5447.440752196853
2019-05-31,5533.573866505225
2019-06-01,5489.698516081942
2019-06-02,6292.851408709526
2019-06-03,5974.717072556795
