Fire Name,Fire Number,Hectares Burned,Date of Discovery,Cause
Fontas River,Prince George,650,5/20/2019,Natural
Lejac,Prince George,236,5/11/2019,Human
Coffee Creek Subdivision,Prince George,9,5/11/2019,human
Richter Creek,Kamloops,507,5/13/2019,unknown
Black Angus Creek,Northwest,1935,5/27/2019,Natural
Linklater Creek,Southeast,50,7/4/2019,Human
Southwest Tagish Lake,Northwest,1197,7/6/2019,Natural
Richter Mountain,Kamloops,403,7/24/2019,Natural
Eagle Bluff,Kamloops,2532,8/4/2019,Human
