,NOx,SO2,NO,NO2,TRS,O3
178,20.8,0.1,9.5,11.4,0.0,18.8
179,31.1,0.4,16.3,14.8,0.2,18.2
180,25.0,0.3,12.4,12.6,0.2,20.2
181,23.2,0.2,10.5,12.7,0.2,20.3
182,23.4,0.2,8.0,15.5,0.2,16.8
183,20.0,0.0,3.3,16.7,0.2,14.0
184,33.9,0.2,10.3,23.6,0.3,7.2
185,50.5,0.4,16.4,34.1,0.4,0.0
186,40.8,0.2,10.2,30.9,0.3,0.0
187,38.2,0.1,7.5,31.1,0.3,0.0
188,33.6,0.0,3.9,29.9,0.3,0.0
189,19.9,0.1,1.3,18.6,0.2,11.0
190,13.0,0.3,0.4,12.5,0.2,17.7
191,6.5,0.6,0.0,6.6,0.2,25.3
192,5.1,0.8,0.2,5.0,0.2,27.3
193,6.7,0.6,0.2,6.6,0.1,24.6
194,5.2,0.4,0.2,5.0,0.2,25.9
195,5.2,0.3,0.3,4.9,0.2,25.9
196,5.9,0.4,0.1,5.8,0.2,26.0
197,6.7,0.3,0.7,6.0,0.2,25.1
198,6.8,0.3,0.1,6.6,0.2,25.1
199,4.6,0.3,0.2,4.5,0.2,27.3
200,9.1,0.2,0.3,8.8,0.2,23.3
201,10.85,0.25,1.85,8.95,0.15000000000000002,23.9
202,12.6,0.3,3.4,9.1,0.1,24.5
203,9.2,0.2,2.6,6.6,0.0,26.5
204,6.3,0.4,1.5,4.7,0.1,28.1
205,7.7,0.5,2.1,5.8,0.1,27.4
206,7.6,0.5,1.5,6.2,0.1,26.7
207,6.1,0.4,0.6,5.6,0.1,27.2
208,6.3,0.3,0.3,6.0,0.1,25.8
209,4.5,0.3,0.4,4.1,0.1,27.2
210,4.4,0.2,0.3,4.1,0.1,26.7
211,4.7,0.3,0.2,4.4,0.1,25.9
212,5.0,0.4,0.2,4.8,0.2,25.2
213,4.7,0.3,0.1,4.6,0.2,25.7
214,3.4,0.3,0.3,3.1,0.1,28.0
215,4.4,1.4,0.3,4.1,0.1,27.3
216,4.7,1.5,0.3,4.5,0.1,26.7
217,4.3,1.7,0.2,4.2,0.1,26.1
218,4.7,2.6,0.2,4.5,0.1,25.9
219,4.4,3.5,0.3,4.1,0.2,25.6
220,6.0,5.1,0.2,5.8,0.2,23.5
221,6.3,2.9,0.2,6.1,0.1,22.5
222,8.2,1.1,0.5,7.6,0.2,20.3
223,10.3,1.0,0.8,9.4,0.2,17.7
224,11.4,1.1,0.9,10.5,0.3,17.8
225,17.6,1.4,6.2,11.3,0.3,17.3
226,14.350000000000001,1.2,5.550000000000001,8.75,0.2,19.450000000000003
227,11.1,1.0,4.9,6.2,0.1,21.6
228,15.4,1.2,8.3,7.0,0.0,21.3
229,20.8,1.2,10.4,10.3,0.1,18.1
230,16.5,1.0,5.6,10.9,0.0,18.1
231,18.2,0.7,3.6,14.6,0.0,13.0
232,18.4,0.4,0.6,17.8,0.0,7.6
233,20.0,0.3,0.3,19.6,0.0,5.6
234,19.6,0.3,1.4,18.3,0.0,6.1
235,18.3,0.2,0.6,17.7,0.0,6.0
236,18.6,0.2,0.6,18.3,0.0,5.9
237,21.5,0.4,1.1,20.6,0.0,4.0
238,24.8,0.4,2.4,22.4,0.1,1.3
239,20.7,0.3,2.0,18.5,0.0,5.1
240,13.8,0.3,0.2,13.5,0.0,10.2
241,15.1,0.4,0.4,14.7,0.0,8.9
242,17.9,0.4,0.5,17.0,0.1,7.4
243,12.3,0.4,0.3,12.0,0.0,12.1
244,10.8,0.5,0.3,10.5,0.1,13.0
245,11.5,0.5,0.3,11.3,0.1,11.7
246,9.9,0.5,0.7,9.2,0.1,13.3
247,10.2,0.3,0.5,9.7,0.1,12.9
248,10.4,0.3,0.4,9.9,0.1,12.3
249,10.5,0.4,1.1,9.4,0.2,12.8
250,12.5,0.4,2.4,10.0,0.1,12.6
251,20.9,0.55,8.2,12.65,0.25,10.25
252,29.3,0.7,14.0,15.3,0.4,7.9
253,16.3,0.6,7.2,9.2,0.4,12.6
254,17.6,0.7,7.2,10.6,0.4,11.5
255,18.8,0.5,4.7,14.4,0.3,7.5
256,22.3,0.3,2.7,19.7,0.4,3.2
257,25.7,0.3,3.9,21.9,0.4,1.5
258,27.2,0.3,3.5,23.4,0.4,1.2
259,19.5,0.3,0.6,18.7,0.3,6.6
260,8.0,0.1,0.1,7.9,0.2,20.3
261,3.1,0.4,0.1,3.0,0.1,35.3
262,2.8,0.7,0.1,2.7,0.2,35.1
263,2.6,0.6,0.1,2.5,0.2,34.4
264,2.8,0.4,0.0,2.8,0.2,32.8
265,5.5,0.2,0.2,5.3,0.2,27.4
266,8.4,0.2,0.1,8.3,0.1,23.7
267,7.0,0.1,0.1,6.9,0.1,23.4
268,4.8,0.2,0.2,4.5,0.1,26.5
269,15.8,0.2,1.3,14.5,0.1,17.7
270,8.6,0.3,0.7,7.8,0.1,27.6
271,6.2,0.1,0.2,6.0,0.1,26.3
272,11.2,0.2,0.8,10.4,0.0,22.1
273,15.6,0.2,2.5,13.1,0.1,16.9
274,19.4,0.4,4.8,14.6,0.0,17.9
275,21.9,0.4,6.5,15.4,0.1,14.8
276,18.95,0.35,5.65,13.3,0.15000000000000002,16.700000000000003
277,16.0,0.3,4.8,11.2,0.2,18.6
278,26.3,0.4,9.3,17.1,0.3,12.7
279,20.4,0.3,7.1,13.5,0.2,17.0
280,8.4,0.1,0.3,8.1,0.2,26.2
281,3.5,0.1,0.1,3.4,0.2,28.8
282,2.6,0.0,0.0,2.6,0.1,31.0
283,9.4,0.1,0.7,8.7,0.1,25.8
284,4.3,0.2,0.3,4.0,0.1,30.9
285,4.2,0.1,0.2,4.0,0.1,29.0
286,5.9,0.1,0.4,5.5,0.1,24.9
287,4.5,0.1,0.1,4.4,0.1,25.9
288,3.6,0.1,0.1,3.6,0.1,25.0
289,5.0,0.2,0.2,4.9,0.1,24.5
290,12.6,0.1,0.5,12.0,0.1,14.9
291,7.7,0.1,0.1,7.6,0.1,21.5
292,3.6,0.2,0.2,3.4,0.1,26.8
293,2.5,0.1,0.0,2.5,0.1,23.9
294,5.0,0.1,0.1,4.9,0.1,18.9
295,7.0,0.0,0.1,6.9,0.1,14.2
296,4.0,0.0,0.3,3.7,0.0,14.7
297,8.5,0.0,2.8,5.7,0.1,15.0
298,7.5,0.0,2.8,4.8,0.1,17.1
299,12.1,0.1,4.6,7.4,0.1,17.9
300,12.6,0.1,6.0,6.6,0.0,17.6
301,11.8,0.1,4.8,6.949999999999999,0.0,16.5
302,11.0,0.1,3.6,7.3,0.0,15.4
303,15.3,0.1,3.4,12.0,0.0,9.5
304,11.2,0.0,0.5,10.6,0.0,10.7
305,10.7,0.0,1.7,9.0,0.1,11.8
306,6.9,0.0,0.0,7.0,0.0,13.9
307,9.3,0.0,1.8,7.5,0.0,14.3
308,4.7,0.0,0.2,4.5,0.0,23.9
309,5.0,0.1,0.4,4.6,0.0,25.7
310,1.9,0.1,0.1,1.7,0.1,29.9
311,5.0,0.0,0.1,4.9,0.0,26.6
312,4.9,0.1,0.3,4.6,0.1,28.7
313,2.4,0.1,0.1,2.3,0.1,34.1
314,0.8,0.1,0.2,0.6,0.0,34.8
315,0.5,0.1,0.0,0.5,0.1,36.0
316,0.7,0.1,0.2,0.5,0.0,36.1
317,2.5,0.1,0.1,2.4,0.1,33.7
318,1.3,0.1,0.2,1.1,0.1,35.0
319,1.2,0.4,0.4,0.8,0.1,34.8
320,1.5,0.9,0.5,1.0,0.1,34.9
321,5.5,0.8,1.2,4.4,0.1,32.3
322,1.4,0.7,0.4,1.0,0.0,35.3
323,7.2,0.5,1.9,5.3,0.1,31.4
324,6.3,0.3,2.1,4.2,0.0,32.7
325,2.7,0.3,0.7,1.9,0.0,35.0
326,4.550000000000001,0.2,0.95,3.55,0.0,32.55
327,6.4,0.1,1.2,5.2,0.0,30.1
328,9.1,0.1,1.3,7.8,0.0,26.2
329,10.0,0.1,0.5,9.6,0.1,22.5
330,8.4,0.1,0.1,8.3,0.0,20.3
331,7.7,0.1,0.3,7.4,0.0,18.6
332,5.9,0.0,0.1,5.8,0.0,18.8
333,3.7,0.0,0.0,3.7,0.0,19.8
334,4.1,0.0,0.2,3.9,0.0,19.5
335,7.1,0.0,0.3,6.9,0.0,15.8
336,4.1,0.0,0.1,4.0,0.0,17.2
337,4.7,0.0,0.2,4.5,0.0,15.3
338,3.0,0.1,0.0,2.9,0.0,19.9
339,4.9,0.1,0.2,4.7,0.0,16.3
340,4.0,0.5,0.4,3.6,0.1,17.5
341,3.5,0.6,0.5,3.0,0.1,18.7
342,3.8,0.9,0.5,3.3,0.1,20.3
343,3.7,0.5,0.5,3.3,0.0,21.2
344,4.1,0.2,0.5,3.6,0.1,21.8
345,4.4,0.3,0.8,3.6,0.1,21.7
346,4.4,0.3,1.4,3.1,0.1,22.1
347,5.2,0.6,2.0,3.3,0.1,22.1
348,5.9,2.0,2.2,3.7,0.2,22.1
349,6.8,2.3,2.3,4.5,0.2,20.9
350,6.1,1.8,1.7,4.4,0.3,20.7
351,6.0,1.25,1.15,4.85,0.25,20.049999999999997
352,5.9,0.7,0.6,5.3,0.2,19.4
353,5.6,0.3,0.4,5.2,0.2,19.2
354,4.2,0.4,0.2,4.0,0.2,20.4
355,5.6,0.3,0.4,5.2,0.2,19.2
356,4.4,0.3,0.4,4.0,0.2,20.6
357,3.9,0.2,0.4,3.5,0.2,21.1
358,5.5,0.2,0.2,5.4,0.2,19.1
359,6.1,0.3,0.2,5.9,0.2,18.7
360,4.3,0.2,0.2,4.1,0.2,20.3
361,3.6,0.2,0.1,3.6,0.2,20.5
362,2.4,0.2,0.1,2.3,0.1,21.5
363,2.3,0.2,0.2,2.1,0.2,21.3
364,2.4,0.2,0.2,2.2,0.2,20.9
365,3.0,0.3,0.3,2.7,0.2,22.2
366,2.9,0.1,0.4,2.5,0.1,22.7
367,3.2,0.1,0.3,2.9,0.1,22.6
368,2.7,0.1,0.3,2.4,0.1,22.8
369,2.8,0.1,0.5,2.3,0.1,22.9
370,4.7,0.1,1.2,3.5,0.0,21.4
371,3.7,0.0,1.1,2.7,0.0,22.3
372,3.2,0.1,0.9,2.3,0.0,22.6
373,5.2,0.1,1.5,3.7,0.1,21.5
374,8.8,0.0,2.0,6.9,0.0,19.5
375,10.0,0.0,1.3,8.7,0.0,18.1
376,9.3,0.0,0.9,8.399999999999999,0.05,19.5
377,8.6,0.0,0.5,8.1,0.1,20.9
378,5.8,0.0,0.5,5.3,0.0,23.8
379,5.3,0.0,0.2,5.1,0.0,24.9
380,5.4,0.0,0.1,5.3,0.1,24.8
381,6.0,0.0,0.3,5.7,0.0,24.0
382,2.7,0.0,0.1,2.6,0.0,26.5
383,2.4,0.0,0.1,2.3,0.1,26.8
384,2.9,0.1,0.1,2.8,0.0,26.2
385,3.2,0.1,0.2,3.1,0.1,25.7
386,3.9,0.1,0.2,3.7,0.1,24.7
387,4.1,0.0,0.1,3.9,0.1,23.7
388,3.3,0.1,0.3,3.0,0.2,25.2
389,2.9,0.4,0.4,2.5,0.2,27.4
390,4.0,0.7,0.3,3.7,0.2,25.4
391,4.3,1.0,0.4,4.0,0.1,24.8
392,3.7,0.8,0.5,3.3,0.2,25.7
393,2.9,0.7,0.6,2.3,0.2,27.1
394,3.5,0.7,1.0,2.5,0.2,27.0
395,3.5,0.4,1.1,2.3,0.3,27.4
396,3.7,0.5,1.3,2.4,0.3,27.1
397,4.2,0.5,1.2,2.9,0.2,26.7
398,5.3,0.5,1.2,4.1,0.3,26.3
399,4.4,0.6,0.5,3.9,0.2,27.4
400,4.7,0.5,0.3,4.4,0.3,27.6
401,4.45,0.45,0.3,4.2,0.25,28.75
402,4.2,0.4,0.3,4.0,0.2,29.9
403,3.7,0.4,0.2,3.6,0.1,31.4
404,3.4,2.1,0.1,3.3,0.0,32.1
405,3.2,1.1,0.2,3.0,0.1,33.0
406,2.7,0.3,0.1,2.7,0.0,33.3
407,2.8,0.3,0.2,2.5,0.0,33.4
408,2.2,0.3,0.1,2.2,0.1,33.6
409,2.3,0.4,0.2,2.1,0.1,33.5
410,2.0,0.3,0.2,1.8,0.0,34.0
411,2.6,0.2,0.1,2.5,0.0,33.4
412,2.8,0.3,0.0,2.8,0.1,33.2
413,2.8,0.4,0.1,2.7,0.0,33.1
414,3.2,0.4,0.3,3.0,0.0,32.7
415,4.5,0.4,0.2,4.3,0.0,31.2
416,3.9,0.4,0.3,3.6,0.0,31.7
417,4.3,0.3,0.6,3.8,0.1,31.7
418,4.8,0.4,0.9,3.9,0.0,31.4
419,5.2,0.7,1.3,4.0,0.1,31.3
420,4.9,1.1,1.2,3.7,0.1,31.7
421,4.9,1.7,1.1,3.8,0.1,31.4
422,4.8,1.5,0.9,3.9,0.0,31.1
423,5.0,0.7,0.7,4.4,0.0,30.6
424,6.6,0.6,0.4,6.3,0.1,28.2
425,7.7,1.0,0.3,7.4,0.1,26.8
426,7.0,0.9,0.25,6.75,0.1,26.85
427,6.3,0.8,0.2,6.1,0.1,26.9
428,5.1,1.0,0.1,4.9,0.1,27.8
429,5.4,0.7,0.2,5.2,0.0,27.7
430,6.3,0.7,0.3,6.1,0.1,27.1
431,5.6,0.7,0.1,5.5,0.1,27.9
432,6.0,2.1,0.2,5.8,0.1,27.6
433,5.7,2.2,0.2,5.5,0.2,27.7
434,5.2,2.0,0.2,5.1,0.1,28.0
435,3.6,1.3,0.2,3.4,0.2,29.4
436,3.6,0.8,0.3,3.3,0.3,29.4
437,3.4,0.7,0.2,3.2,0.2,29.5
438,4.5,0.8,0.4,4.1,0.3,28.4
439,4.6,0.7,0.3,4.3,0.3,27.9
440,4.1,0.9,0.2,4.0,0.4,27.8
441,4.7,0.8,0.5,4.2,0.3,27.4
442,5.0,0.7,1.1,3.9,0.4,27.6
443,5.1,0.9,1.5,3.7,0.3,27.9
444,5.2,1.0,1.8,3.4,0.3,28.2
445,8.1,1.1,2.7,5.4,0.4,26.4
446,13.0,1.2,5.1,7.9,0.4,23.1
447,25.0,1.3,9.6,15.5,0.4,17.6
448,11.0,0.6,0.9,10.1,0.4,18.3
449,9.2,0.4,0.3,9.0,0.3,19.4
450,11.3,0.9,0.5,10.8,0.4,19.4
451,10.65,0.9,0.35,10.3,0.30000000000000004,18.7
452,10.0,0.9,0.2,9.8,0.2,18.0
453,9.0,0.4,0.1,9.0,0.2,17.0
454,10.1,0.4,0.1,10.0,0.3,15.3
455,10.5,0.4,0.1,10.4,0.2,14.7
456,10.8,0.4,0.3,10.6,0.2,14.2
457,10.5,0.4,0.1,10.4,0.2,13.4
458,11.6,0.4,0.3,11.2,0.2,11.5
459,5.6,0.4,0.3,5.3,0.2,31.3
460,1.3,0.2,0.1,1.1,0.0,39.4
461,1.0,0.2,0.1,0.9,0.1,39.8
462,0.7,0.2,0.2,0.5,0.1,40.0
463,0.7,0.2,0.1,0.5,0.1,40.0
464,0.9,0.2,0.2,0.7,0.2,39.3
465,1.3,0.2,0.2,1.0,0.2,39.1
466,2.5,0.4,0.9,1.6,0.2,39.0
467,1.7,0.5,0.5,1.2,0.1,38.9
468,2.0,0.5,0.6,1.4,0.2,38.8
469,7.2,2.6,2.8,4.4,0.3,26.6
470,9.1,2.3,2.6,6.5,0.3,23.4
471,11.1,1.9,2.7,8.4,0.2,21.6
472,9.3,2.4,0.5,8.8,0.1,19.9
473,9.3,1.4,0.3,9.0,0.1,19.7
474,5.5,0.9,0.1,5.4,0.1,23.1
475,6.2,0.8,0.2,6.0,0.1,21.8
476,6.0,0.55,0.15000000000000002,5.8,0.2,21.4
477,5.8,0.3,0.1,5.6,0.3,21.0
478,6.2,0.2,0.2,6.0,0.4,18.7
479,9.2,0.4,0.1,9.1,0.3,15.8
480,10.8,0.4,0.2,10.6,0.2,13.4
481,16.2,0.5,0.5,15.6,0.2,9.9
482,11.1,0.3,0.2,10.8,0.3,12.9
483,9.1,0.1,0.1,9.0,0.3,12.8
484,7.5,0.1,0.1,7.4,0.2,14.4
485,7.3,0.1,0.2,7.1,0.2,13.9
486,9.5,0.1,1.0,8.5,0.2,13.8
487,17.0,0.2,3.2,13.8,0.2,8.8
488,32.6,0.4,13.0,19.6,0.4,3.6
489,24.3,0.3,11.7,12.6,0.3,10.5
490,40.4,0.7,24.8,15.6,0.5,10.3
491,29.8,0.6,18.1,11.7,0.4,12.1
492,13.7,0.4,7.1,6.6,0.2,23.5
493,4.0,0.3,1.4,2.6,0.1,34.7
494,2.0,0.2,0.6,1.4,0.0,35.8
495,3.0,0.2,0.5,2.6,0.1,35.6
496,3.6,0.1,0.3,3.3,0.0,35.6
497,0.9,0.1,0.2,0.8,0.1,37.6
498,0.9,0.0,0.2,0.7,0.0,37.7
499,0.8,0.0,0.2,0.6,0.1,37.7
500,2.0,0.1,0.1,1.8,0.2,37.6
501,2.45,0.1,0.1,2.3,0.15000000000000002,37.6
502,2.9,0.1,0.1,2.8,0.1,37.6
503,2.0,0.1,0.2,1.8,0.1,38.5
504,1.4,0.2,0.1,1.3,0.2,37.9
505,4.9,0.3,0.3,4.6,0.2,33.7
506,4.8,0.2,0.2,4.6,0.1,36.2
507,1.7,0.1,0.2,1.5,0.3,39.5
508,0.8,0.2,0.1,0.7,0.3,40.0
509,1.3,0.2,0.1,1.2,0.3,39.5
510,2.5,0.2,0.4,2.1,0.3,38.3
511,12.4,0.2,1.4,11.1,0.3,27.7
512,22.2,0.2,1.5,20.7,0.3,17.6
513,7.5,0.3,1.4,6.1,0.3,34.5
514,2.2,0.1,0.7,1.5,0.3,38.1
515,3.8,0.3,1.2,2.6,0.3,37.0
516,3.8,0.2,1.4,2.4,0.3,37.5
517,3.7,0.6,1.1,2.6,0.3,35.8
518,2.5,0.7,0.5,2.0,0.2,29.3
519,2.9,0.3,0.4,2.5,0.1,25.9
520,2.8,0.4,0.2,2.6,0.1,24.3
521,3.0,0.5,0.3,2.7,0.0,25.8
522,2.2,0.2,0.2,2.0,0.0,27.3
523,2.8,0.1,0.1,2.6,0.0,25.6
524,2.8,0.3,0.2,2.6,0.0,25.4
525,2.5,0.9,0.2,2.3,0.0,26.8
526,2.7,0.65,0.15000000000000002,2.55,0.1,27.200000000000003
527,2.9,0.4,0.1,2.8,0.2,27.6
528,2.3,0.6,0.1,2.1,0.3,30.6
529,1.3,0.4,0.1,1.2,0.2,33.8
