Date,gas_prod_vol_m3
2019-01-01,168187.64838709676
2019-01-02,168187.64838709676
2019-01-03,168187.64838709676
2019-01-04,168187.64838709676
2019-01-05,168187.64838709676
2019-01-06,168187.64838709676
2019-01-07,168187.64838709676
2019-01-08,168187.64838709676
2019-01-09,168187.64838709676
2019-01-10,168187.64838709676
2019-01-11,168187.64838709676
2019-01-12,168187.64838709676
2019-01-13,168187.64838709676
2019-01-14,168187.64838709676
2019-01-15,168187.64838709676
2019-01-16,168187.64838709676
2019-01-17,168187.64838709676
2019-01-18,168187.64838709676
2019-01-19,168187.64838709676
2019-01-20,168187.64838709676
2019-01-21,168187.64838709676
2019-01-22,168187.64838709676
2019-01-23,168187.64838709676
2019-01-24,168187.64838709676
2019-01-25,168187.64838709676
2019-01-26,168187.64838709676
2019-01-27,168187.64838709676
2019-01-28,168187.64838709676
2019-01-29,168187.64838709676
2019-01-30,168187.64838709676
2019-01-31,168187.64838709676
2019-02-01,168012.80357142858
2019-02-02,168012.80357142858
2019-02-03,168012.80357142858
2019-02-04,168012.80357142858
2019-02-05,168012.80357142858
2019-02-06,168012.80357142858
2019-02-07,168012.80357142858
2019-02-08,168012.80357142858
2019-02-09,168012.80357142858
2019-02-10,168012.80357142858
2019-02-11,168012.80357142858
2019-02-12,168012.80357142858
2019-02-13,168012.80357142858
2019-02-14,168012.80357142858
2019-02-15,168012.80357142858
2019-02-16,168012.80357142858
2019-02-17,168012.80357142858
2019-02-18,168012.80357142858
2019-02-19,168012.80357142858
2019-02-20,168012.80357142858
2019-02-21,168012.80357142858
2019-02-22,168012.80357142858
2019-02-23,168012.80357142858
2019-02-24,168012.80357142858
2019-02-25,168012.80357142858
2019-02-26,168012.80357142858
2019-02-27,168012.80357142858
2019-02-28,168012.80357142858
2019-03-01,168502.29032258064
2019-03-02,168502.29032258064
2019-03-03,168502.29032258064
2019-03-04,168502.29032258064
2019-03-05,168502.29032258064
2019-03-06,168502.29032258064
2019-03-07,168502.29032258064
2019-03-08,168502.29032258064
2019-03-09,168502.29032258064
2019-03-10,168502.29032258064
2019-03-11,168502.29032258064
2019-03-12,168502.29032258064
2019-03-13,168502.29032258064
2019-03-14,168502.29032258064
2019-03-15,168502.29032258064
2019-03-16,168502.29032258064
2019-03-17,168502.29032258064
2019-03-18,168502.29032258064
2019-03-19,168502.29032258064
2019-03-20,168502.29032258064
2019-03-21,168502.29032258064
2019-03-22,168502.29032258064
2019-03-23,168502.29032258064
2019-03-24,168502.29032258064
2019-03-25,168502.29032258064
2019-03-26,168502.29032258064
2019-03-27,168502.29032258064
2019-03-28,168502.29032258064
2019-03-29,168502.29032258064
2019-03-30,168502.29032258064
2019-03-31,168502.29032258064
2019-04-01,160254.62333333335
2019-04-02,160254.62333333335
2019-04-03,160254.62333333335
2019-04-04,160254.62333333335
2019-04-05,160254.62333333335
2019-04-06,160254.62333333335
2019-04-07,160254.62333333335
2019-04-08,160254.62333333335
2019-04-09,160254.62333333335
2019-04-10,160254.62333333335
2019-04-11,160254.62333333335
2019-04-12,160254.62333333335
2019-04-13,160254.62333333335
2019-04-14,160254.62333333335
2019-04-15,160254.62333333335
2019-04-16,160254.62333333335
2019-04-17,160254.62333333335
2019-04-18,160254.62333333335
2019-04-19,160254.62333333335
2019-04-20,160254.62333333335
2019-04-21,160254.62333333335
2019-04-22,160254.62333333335
2019-04-23,160254.62333333335
2019-04-24,160254.62333333335
2019-04-25,160254.62333333335
2019-04-26,160254.62333333335
2019-04-27,160254.62333333335
2019-04-28,160254.62333333335
2019-04-29,160254.62333333335
2019-04-30,160254.62333333335
2019-05-01,147147.7258064516
2019-05-02,147147.7258064516
2019-05-03,147147.7258064516
2019-05-04,147147.7258064516
2019-05-05,147147.7258064516
2019-05-06,147147.7258064516
2019-05-07,147147.7258064516
2019-05-08,147147.7258064516
2019-05-09,147147.7258064516
2019-05-10,147147.7258064516
2019-05-11,147147.7258064516
2019-05-12,147147.7258064516
2019-05-13,147147.7258064516
2019-05-14,147147.7258064516
2019-05-15,147147.7258064516
2019-05-16,147147.7258064516
2019-05-17,147147.7258064516
2019-05-18,147147.7258064516
2019-05-19,147147.7258064516
2019-05-20,147147.7258064516
2019-05-21,147147.7258064516
2019-05-22,147147.7258064516
2019-05-23,147147.7258064516
2019-05-24,147147.7258064516
2019-05-25,147147.7258064516
2019-05-26,147147.7258064516
2019-05-27,147147.7258064516
2019-05-28,147147.7258064516
2019-05-29,147147.7258064516
2019-05-30,147147.7258064516
